"YEAR","START_DATE","END_DATE","JURISDICTION","LOCATION","AGE_GROUP","METRIC","BEST_DETECTION_METHOD","DETECTION_METHOD","AMPHETAMINE","CANNABIS","COCAINE","ECSTASY","METHYLAMPHETAMINE","OTHER","UNKNOWN","NO_DRUGS_DETECTED","COUNT","FINES","ARRESTS","CHARGES"
2015,"2015-01-01","2015-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2318,0,0,0
2015,"2015-01-01","2015-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",7823,0,0,0
2015,"2015-01-01","2015-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2816,0,0,0
2016,"2016-01-01","2016-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",444,0,0,0
2016,"2016-01-01","2016-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",8220,0,0,0
2016,"2016-01-01","2016-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",196,0,0,0
2016,"2016-01-01","2016-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",10663,0,0,0
2016,"2016-01-01","2016-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4310,0,0,0
2016,"2016-01-01","2016-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2154,0,0,0
2016,"2016-01-01","2016-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9065,0,0,0
2016,"2016-01-01","2016-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",3651,0,0,0
2017,"2017-01-01","2017-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",504,0,0,0
2017,"2017-01-01","2017-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9273,0,0,0
2017,"2017-01-01","2017-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",329,0,0,0
2017,"2017-01-01","2017-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",11697,0,0,0
2017,"2017-01-01","2017-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4337,0,0,0
2017,"2017-01-01","2017-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2152,0,0,0
2017,"2017-01-01","2017-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",8252,0,0,0
2017,"2017-01-01","2017-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",3311,0,0,0
2018,"2018-01-01","2018-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",877,0,0,0
2018,"2018-01-01","2018-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9067,0,0,0
2018,"2018-01-01","2018-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",341,0,0,0
2018,"2018-01-01","2018-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",14020,0,0,0
2018,"2018-01-01","2018-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",5141,0,0,0
2018,"2018-01-01","2018-12-31","tas","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",2408,0,0,0
2018,"2018-01-01","2018-12-31","vic","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",11548,0,0,0
2018,"2018-01-01","2018-12-31","wa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4814,0,0,0
2019,"2019-01-01","2019-12-31","act","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",852,0,0,0
2019,"2019-01-01","2019-12-31","nsw","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",9446,0,0,0
2019,"2019-01-01","2019-12-31","nt","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",462,0,0,0
2019,"2019-01-01","2019-12-31","qld","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",13366,0,0,0
2019,"2019-01-01","2019-12-31","sa","all regions","all ages","positive_drug_tests","Yes","indicator (stage 1)","No","No","No","No","No","No","Yes","No",4985,0,0,0
